fileid	speechNrLast	nameIDifElnok	speechNrLast	nameIDifElnok	speechNrLast	nameIDifElnok	speechNrLast	nameIDifElnok	speechNrLast	nameIDifElnok	speechNrLast	nameIDifElnok	speechNrLast	nameIDifElnok	speechNrLast	nameIDifElnok	speechNrLast	nameIDifElnok	speechNrLast	nameIDifElnok
2015-04-13	22	KoverLaszlo	182	SneiderTamas	258	JakabIstvan	328	LezsakSandor	416	SneiderTamas										
2015-04-14	41	LezsakSandor	51	LatorcaiJanos	99	HillerIstvan	204	JakabIstvan												
2015-04-20	231	HillerIstvan																		
2015-04-27	20	KoverLaszlo	98	LatorcaiJanos	221	LezsakSandor	364	HillerIstvan												
2015-04-28	38	LatorcaiJanos	62	HillerIstvan	88	LezsakSandor	122	SneiderTamas	181	LatorcaiJanos										
2015-04-29	38	HillerIstvan	76	LezsakSandor	159	SneiderTamas														
2015-05-04	76	SneiderTamas	225	JakabIstvan																
2015-05-11	64	LezsakSandor	216	JakabIstvan	263	SneiderTamas														
2015-05-12	50	SneiderTamas	70	JakabIstvan	112	HillerIstvan	142	SneiderTamas	181	JakabIstvan										
2015-05-13	22	LatorcaiJanos	50	LezsakSandor	59	LatorcaiJanos														
2015-05-19	82	HillerIstvan	205	LezsakSandor																
2015-05-26	96	LezsakSandor	226	LatorcaiJanos	294	LezsakSandor	390	HillerIstvan												
2015-05-27	53	SneiderTamas	65	LatorcaiJanos	77	SneiderTamas	135	JakabIstvan	162	LezsakSandor										
2015-05-28	20	JakabIstvan	100	SneiderTamas	132	HillerIstvan	168	SneiderTamas	239	HillerIstvan										
2015-05-29	40	SneiderTamas	68	LezsakSandor	96	SneiderTamas	159	LatorcaiJanos												
2015-05-30	24	HillerIstvan	130	JakabIstvan	131	LezsakSandor														
2015-06-01	90	LatorcaiJanos	229	LezsakSandor																
2015-06-08	28	KoverLaszlo	94	JakabIstvan	213	LezsakSandor	305	HillerIstvan	390	SneiderTamas										
2015-06-09	39	JakabIstvan	77	LatorcaiJanos	101	LezsakSandor	133	JakabIstvan	175	LatorcaiJanos	202	LezsakSandor								
2015-06-10	28	LezsakSandor	90	HillerIstvan	175	SneiderTamas														
2015-06-11	30	LatorcaiJanos	56	SneiderTamas	110	LatorcaiJanos	152	SneiderTamas	155	HillerIstvan										
2015-06-12	60	SneiderTamas	102	HillerIstvan	187	LatorcaiJanos														
2015-06-15	40	SneiderTamas	162	LezsakSandor	248	JakabIstvan	336	LatorcaiJanos	361	SneiderTamas										
2015-06-16	37	LezsakSandor	91	JakabIstvan	135	SneiderTamas	195	LatorcaiJanos	232	HillerIstvan										
2015-06-17	60	JakabIstvan	138	SneiderTamas	170	LezsakSandor	272	LatorcaiJanos	289	SneiderTamas										
2015-06-22	24	KoverLaszlo	151	LezsakSandor	230	LatorcaiJanos	328	LezsakSandor	337	SneiderTamas										
2015-06-23	68	LatorcaiJanos	132	HillerIstvan	170	SneiderTamas	181	JakabIstvan												
2015-06-29	118	JakabIstvan	216	LezsakSandor	275	JakabIstvan	334	HillerIstvan	380	SneiderTamas	385	HillerIstvan								
2015-06-30	42	LatorcaiJanos	106	HillerIstvan	152	LatorcaiJanos	204	SneiderTamas	258	LezsakSandor	275	HillerIstvan								
2015-07-03	70	JakabIstvan	85	LatorcaiJanos																
2015-07-06	22	KoverLaszlo	54	LezsakSandor	131	LatorcaiJanos	274	JakabIstvan												
2015-09-03	109	LatorcaiJanos	220	SneiderTamas																
2015-09-04	48	JakabIstvan	96	LezsakSandor	140	SneiderTamas	145	LatorcaiJanos												
2015-09-21	52	KoverLaszlo	90	JakabIstvan	214	LezsakSandor	298	LatorcaiJanos	344	HillerIstvan	361	SneiderTamas								
2015-09-22	65	LatorcaiJanos	119	HillerIstvan	166	JakabIstvan														
2015-09-28	80	LezsakSandor	216	JakabIstvan	229	LezsakSandor														
2015-09-29	26	KoverLaszlo	97	LezsakSandor	118	JakabIstvan														
2015-10-05	55	KoverLaszlo	195	JakabIstvan	266	LezsakSandor														
2015-10-06	36	LezsakSandor	61	JakabIstvan	87	HillerIstvan	125	SneiderTamas	166	JakabIstvan										
2015-10-07	22	LezsakSandor	56	HillerIstvan	84	SneiderTamas	113	LezsakSandor												
2015-10-08	21	SneiderTamas																		
2015-10-12	2	KoverLaszlo	72	JakabIstvan	162	LezsakSandor	257	HillerIstvan												
2015-10-19	82	LezsakSandor	248	JakabIstvan	310	HillerIstvan	353	SneiderTamas												
2015-10-20	48	LezsakSandor	74	JakabIstvan	113	HillerIstvan														
2015-10-21	41	JakabIstvan	85	HillerIstvan	115	SneiderTamas	148	HillerIstvan												
2015-10-22	48	JakabIstvan	102	LezsakSandor	121	HillerIstvan														
2015-10-26	78	JakabIstvan	190	HillerIstvan	244	LezsakSandor	314	HillerIstvan	379	SneiderTamas										
2015-11-02	78	JakabIstvan	126	SneiderTamas	152	JakabIstvan	186	SneiderTamas	306	LezsakSandor	379	SneiderTamas								
2015-11-03	44	JakabIstvan	74	HillerIstvan	118	LezsakSandor	166	SneiderTamas	215	HillerIstvan										
2015-11-04	8	LezsakSandor	42	JakabIstvan	53	SneiderTamas														
2015-11-05	36	SneiderTamas	84	HillerIstvan	95	SneiderTamas														
2015-11-09	78	JakabIstvan	188	LezsakSandor	207	SneiderTamas														
2015-11-16	40	KoverLaszlo	96	LezsakSandor	200	JakabIstvan	276	HillerIstvan	389	SneiderTamas	454	HillerIstvan								
2015-11-17	21	JakabIstvan	45	LezsakSandor	111	HillerIstvan	141	SneiderTamas	166	LezsakSandor										
2015-11-18	72	HillerIstvan	106	LezsakSandor	142	JakabIstvan	175	SneiderTamas												
2015-11-19	38	HillerIstvan	76	SneiderTamas	96	JakabIstvan	116	LezsakSandor	173	JakabIstvan										
2015-11-23	106	JakabIstvan	231	LezsakSandor	289	HillerIstvan	345	JakabIstvan	388	HillerIstvan										
2015-11-30	87	JakabIstvan	218	LezsakSandor	346	HillerIstvan	435	SneiderTamas												
2015-12-01	48	JakabIstvan	52	LezsakSandor	68	JakabIstvan	104	HillerIstvan	137	LezsakSandor										
2015-12-02	38	JakabIstvan	64	LezsakSandor	97	SneiderTamas														
2015-12-07	82	LatorcaiJanos	190	LezsakSandor	207	SneiderTamas														
2015-12-14	42	KoverLaszlo	104	JakabIstvan	168	LatorcaiJanos	211	HillerIstvan	255	LezsakSandor	307	SneiderTamas	330	HillerIstvan						
2015-12-15	34	JakabIstvan	53	HillerIstvan	108	LatorcaiJanos	243	LezsakSandor												
2016-02-15	32	KoverLaszlo	106	LatorcaiJanos	226	LezsakSandor	269	SneiderTamas												
2016-02-16	64	JakabIstvan	102	LezsakSandor	132	LatorcaiJanos	153	SneiderTamas												
2016-02-22	28	JakabIstvan	220	HillerIstvan	245	SneiderTamas														
2016-02-29	54	KoverLaszlo	198	LezsakSandor	332	JakabIstvan														
2016-03-01	73	LatorcaiJanos	106	JakabIstvan	168	LezsakSandor	226	SneiderTamas	239	LezsakSandor										
2016-03-02	48	JakabIstvan	89	HillerIstvan																
2016-03-07	80	SneiderTamas	199	LatorcaiJanos																
2016-03-16	56	JakabIstvan	162	SneiderTamas	258	LatorcaiJanos	288	SneiderTamas	359	HillerIstvan										
2016-03-17	54	LezsakSandor	103	LatorcaiJanos	137	SneiderTamas	168	JakabIstvan												
2016-03-21	86	HillerIstvan	213	LatorcaiJanos																
2016-03-29	76	KoverLaszlo	205	LatorcaiJanos	289	JakabIstvan	338	LezsakSandor												
