parlaid	frakciótagság	frakció neve	from	to
FarkasFlorian	member	parliamentaryGroup.Fidesz.7	2014-05-06	2018-05-07
FarkasGergely	member	parliamentaryGroup.JOBBIK.7	2014-05-06	2018-05-07
FarkasGergely	deputyHead	parliamentaryGroup.JOBBIK.7	2014-05-06	2018-05-07
FarkasGergely	member	parliamentaryGroup.JOBBIK.8	2018-05-08	2020-05-27
FarkasGergely	deputyHead	parliamentaryGroup.JOBBIK.8	2018-05-08	2020-05-27
FarkasSandor	member	parliamentaryGroup.Fidesz.7	2014-05-06	2018-05-07
FarkasSandor	member	parliamentaryGroup.Fidesz.8	2018-05-08	2022-05-01
FarkasSandor	member	parliamentaryGroup.Fidesz.9	2022-05-02	
FazekasSandor	member	parliamentaryGroup.Fidesz.7	2014-05-06	2018-05-07
FazekasSandor	member	parliamentaryGroup.Fidesz.8	2018-05-08	2022-05-01
FazekasSandor	member	parliamentaryGroup.Fidesz.9	2022-05-02	
FeketeGyorAndras	member	parliamentaryGroup.Momentum.9	2022-05-02	
FenyvesiZoltan	member	parliamentaryGroup.Fidesz.8	2018-05-08	2022-05-01
FirtlMatyas	member	parliamentaryGroup.KDNP.7	2014-05-06	2018-05-07
FKovacsSandor	member	parliamentaryGroup.Fidesz.8	2018-05-08	2022-05-01
FKovacsSandor	member	parliamentaryGroup.Fidesz.9	2022-05-02	
FoldiLaszlo	member	parliamentaryGroup.KDNP.7	2014-05-06	2018-05-07
FoldiLaszlo	member	parliamentaryGroup.KDNP.8	2018-05-08	2022-05-01
FoldiLaszlo	member	parliamentaryGroup.KDNP.9	2022-05-02	
FonagyJanos	member	parliamentaryGroup.Fidesz.7	2014-05-06	2018-05-07
FonagyJanos	member	parliamentaryGroup.Fidesz.8	2018-05-08	2022-05-01
FonagyJanos	member	parliamentaryGroup.Fidesz.9	2022-05-02	
FontSandor	member	parliamentaryGroup.Fidesz.7	2014-05-06	2018-05-07
FontSandor	deputyHead	parliamentaryGroup.Fidesz.7	2014-05-06	2015-11-01
FontSandor	member	parliamentaryGroup.Fidesz.8	2018-05-08	2022-05-01
FontSandor	member	parliamentaryGroup.Fidesz.9	2022-05-02	
FontSandor	deputyHead	parliamentaryGroup.Fidesz.9	2022-05-02	
FulopErik	member	parliamentaryGroup.JOBBIK.8	2018-05-08	2018-10-08
GaalGergely	member	parliamentaryGroup.KDNP.7	2017-09-18	2018-05-07
GelencserAttila	member	parliamentaryGroup.Fidesz.7	2014-05-06	2018-05-07
GelencserAttila	member	parliamentaryGroup.Fidesz.8	2018-05-08	2022-05-01
GelencserAttila	member	parliamentaryGroup.Fidesz.9	2022-05-02	
GelencserFerenc	member	parliamentaryGroup.Momentum.9	2022-05-02	
GelencserFerenc	head	parliamentaryGroup.Momentum.9	2022-05-02	
GogosZoltan	member	parliamentaryGroup.MSZP.7	2014-10-27	2018-05-07
GreczyZsolt	member	parliamentaryGroup.DK.8	2018-05-08	2019-12-31
GreczyZsolt	member	parliamentaryGroup.DK.9	2022-05-02	
GulyasGergely	member	parliamentaryGroup.Fidesz.7	2014-05-06	2018-05-07
GulyasGergely	deputyHead	parliamentaryGroup.Fidesz.7	2014-05-06	2017-10-01
GulyasGergely	head	parliamentaryGroup.Fidesz.7	2017-10-02	2018-05-07
GulyasGergely	member	parliamentaryGroup.Fidesz.8	2018-05-08	2022-05-01
GulyasGergely	member	parliamentaryGroup.Fidesz.9	2022-05-02	
GurmaiZita	member	parliamentaryGroup.MSZP.8	2018-05-08	2022-05-01
GurmaiZita	deputyHead	parliamentaryGroup.MSZP.8	2019-06-24	2022-05-01
GurmaiZita	member	parliamentaryGroup.MSZP.9	2022-05-02	
GurmaiZita	deputyHead	parliamentaryGroup.MSZP.9	2022-05-02	
GurNandor	member	parliamentaryGroup.MSZP.7	2014-05-06	2018-05-07
GyNemethErzsebet	member	parliamentaryGroup.DK.9	2022-05-02	
GyongyosiMarton	member	parliamentaryGroup.JOBBIK.7	2014-05-06	2018-05-07
GyongyosiMarton	deputyHead	parliamentaryGroup.JOBBIK.7	2014-05-06	2015-10-11
GyongyosiMarton	deputyHead	parliamentaryGroup.JOBBIK.7	2017-02-20	2018-05-07
GyongyosiMarton	member	parliamentaryGroup.JOBBIK.8	2018-05-08	2019-06-25
GyongyosiMarton	head	parliamentaryGroup.JOBBIK.8	2018-05-08	2019-06-25
GyoparosAlpar	member	parliamentaryGroup.Fidesz.7	2014-05-06	2018-05-07
GyoparosAlpar	member	parliamentaryGroup.Fidesz.8	2018-05-08	2022-05-01
GyoparosAlpar	member	parliamentaryGroup.Fidesz.9	2022-05-02	
GyorffyBalazs	member	parliamentaryGroup.Fidesz.7	2014-05-06	2018-05-07
GyorffyBalazs	member	parliamentaryGroup.Fidesz.8	2018-05-08	2022-05-01
GyorffyBalazs	member	parliamentaryGroup.Fidesz.9	2022-05-02	
GyurcsanyFerenc	member	parliamentaryGroup.DK.8	2018-05-08	2022-05-01
GyurcsanyFerenc	head	parliamentaryGroup.DK.8	2018-05-08	2022-05-01
GyurcsanyFerenc	member	parliamentaryGroup.DK.9	2022-05-02	
GyurcsanyFerenc	head	parliamentaryGroup.DK.9	2022-05-02	
GyureCsaba	member	parliamentaryGroup.JOBBIK.7	2014-05-06	2018-05-07
GyureCsaba	member	parliamentaryGroup.JOBBIK.8	2019-04-01	2022-05-01
HadhazyAkos	deputyHead	parliamentaryGroup.LMP.7	2016-10-11	2018-05-07
HadhazyAkos	member	parliamentaryGroup.LMP.7	2016-09-12	2018-05-07
HadhazyAkos	member	parliamentaryGroup.LMP.8	2018-05-08	2018-06-22
HadhazySandor	member	parliamentaryGroup.Fidesz.7	2014-05-06	2018-05-07
HadhazySandor	member	parliamentaryGroup.Fidesz.8	2018-05-08	2022-05-01
HajduLaszlo	member	parliamentaryGroup.DK.8	2018-05-08	2022-05-01
HajnalMiklos	member	parliamentaryGroup.Momentum.9	2022-05-02	
HalaszJanos	member	parliamentaryGroup.Fidesz.7	2014-05-06	2018-05-07
HalaszJanos	deputyHead	parliamentaryGroup.Fidesz.7	2015-11-02	2018-05-07
HalaszJanos	member	parliamentaryGroup.Fidesz.8	2018-05-08	2022-05-01
HalaszJanos	deputyHead	parliamentaryGroup.Fidesz.8	2018-05-08	2022-05-01
HalaszJanos	member	parliamentaryGroup.Fidesz.9	2022-05-02	
HalaszJanos	deputyHead	parliamentaryGroup.Fidesz.9	2022-06-21	
HarangozoGabor	member	parliamentaryGroup.MSZP.7	2014-05-06	2018-05-07
HarangozoTamas	deputyHead	parliamentaryGroup.MSZP.7	2014-05-06	2016-07-05
HarangozoTamas	deputyHead	parliamentaryGroup.MSZP.8	2018-05-08	2022-05-01
HarangozoTamas	deputyHead	parliamentaryGroup.MSZP.9	2022-05-02	
HarangozoTamas	member	parliamentaryGroup.MSZP.7	2014-05-06	2018-05-07
HarangozoTamas	member	parliamentaryGroup.MSZP.8	2018-05-08	2022-05-01
HarangozoTamas	member	parliamentaryGroup.MSZP.9	2022-05-02	
HargitaiJanos	member	parliamentaryGroup.KDNP.7	2014-05-06	2018-05-07
HargitaiJanos	member	parliamentaryGroup.KDNP.8	2018-05-08	2022-05-01
HargitaiJanos	member	parliamentaryGroup.KDNP.9	2022-05-02	
HarrachPeter	member	parliamentaryGroup.KDNP.7	2014-05-06	2018-05-07
HarrachPeter	head	parliamentaryGroup.KDNP.7	2014-05-06	2018-05-07
HarrachPeter	member	parliamentaryGroup.KDNP.8	2018-05-08	2022-05-01
HarrachPeter	head	parliamentaryGroup.KDNP.8	2018-05-08	2020-07-14
HarrachPeter	deputyHead	parliamentaryGroup.KDNP.8	2020-07-15	2022-05-01
HarrachPeter	member	parliamentaryGroup.KDNP.9	2022-05-02	
HarrachPeter	deputyHead	parliamentaryGroup.KDNP.9	2022-05-02	
HegedusAndrea	member	parliamentaryGroup.DK.9	2022-05-02	
HegedusLorantne	member	parliamentaryGroup.JOBBIK.8	2018-05-08	2019-02-26
HegedusLorantne	member	parliamentaryGroup.JOBBIK.7	2014-05-06	2018-05-07
HejjDavid	member	parliamentaryGroup.Fidesz.8	2018-05-08	2022-05-01
HejjDavid	member	parliamentaryGroup.Fidesz.9	2022-05-02	
HendeCsaba	member	parliamentaryGroup.Fidesz.7	2014-05-06	2018-05-07
HendeCsaba	deputyHead	parliamentaryGroup.Fidesz.7	2017-10-02	2018-05-07
HendeCsaba	member	parliamentaryGroup.Fidesz.8	2018-05-08	2022-05-01
HendeCsaba	deputyHead	parliamentaryGroup.Fidesz.8	2018-05-08	2022-05-01
HendeCsaba	member	parliamentaryGroup.Fidesz.9	2022-05-02	
HendeCsaba	deputyHead	parliamentaryGroup.Fidesz.9	2022-05-02	
HerczegTamas	member	parliamentaryGroup.Fidesz.8	2018-05-08	2022-05-01
HerczegTamas	member	parliamentaryGroup.Fidesz.9	2022-05-02	
HerczegZsolt	member	parliamentaryGroup.Fidesz.9	2022-05-02	
HeringesAnita	member	parliamentaryGroup.MSZP.7	2014-05-06	2018-05-07
HillerIstvan	member	parliamentaryGroup.MSZP.7	2014-05-06	2018-05-07
HillerIstvan	member	parliamentaryGroup.MSZP.8	2018-05-08	2022-05-01
HillerIstvan	member	parliamentaryGroup.MSZP.9	2022-05-02	
HirtFerenc	member	parliamentaryGroup.Fidesz.7	2014-05-06	2018-05-07
HirtFerenc	member	parliamentaryGroup.Fidesz.8	2018-05-08	2018-12-07
HiszekenyDezso	member	parliamentaryGroup.MSZP.7	2014-05-06	2018-05-07
HiszekenyDezso	member	parliamentaryGroup.MSZP.8	2018-05-08	2022-05-01
HiszekenyDezso	member	parliamentaryGroup.MSZP.9	2022-05-02	
HoffmannRozsa	member	parliamentaryGroup.KDNP.7	2014-05-06	2018-05-07
HohnKrisztina	member	parliamentaryGroup.LMP.8	2018-06-11	2022-05-01
HollikIstvan	member	parliamentaryGroup.KDNP.7	2014-05-06	2018-05-07
HollikIstvan	member	parliamentaryGroup.KDNP.8	2018-05-08	2022-05-01
HollikIstvan	member	parliamentaryGroup.KDNP.9	2022-05-02	
HoppalPeter	member	parliamentaryGroup.Fidesz.7	2014-05-06	2018-05-07
HoppalPeter	member	parliamentaryGroup.Fidesz.8	2018-05-08	2022-05-01
HoppalPeter	member	parliamentaryGroup.Fidesz.9	2022-05-02	
HorcsikRichard	member	parliamentaryGroup.Fidesz.7	2014-05-06	2018-05-07
HorcsikRichard	deputyHead	parliamentaryGroup.Fidesz.7	2014-05-06	2015-11-01
HorcsikRichard	member	parliamentaryGroup.Fidesz.8	2018-05-08	2022-05-01
HorcsikRichard	member	parliamentaryGroup.Fidesz.9	2022-05-02	
HorvathImre	member	parliamentaryGroup.MSZP.7	2014-12-08	2018-05-07
HorvathIstvan	member	parliamentaryGroup.Fidesz.7	2014-05-06	2018-05-07
HorvathIstvan	member	parliamentaryGroup.Fidesz.8	2018-05-08	2022-05-01
HorvathIstvan	member	parliamentaryGroup.Fidesz.9	2022-05-02	
HorvathLaszlo	member	parliamentaryGroup.Fidesz.7	2014-05-06	2018-05-07
HorvathLaszlo	member	parliamentaryGroup.Fidesz.8	2018-05-08	2022-05-01
HorvathLaszlo	member	parliamentaryGroup.Fidesz.9	2022-05-02	
HubayGyorgy	member	parliamentaryGroup.Fidesz.8	2018-05-08	2022-05-01
IkotityIstvan	member	parliamentaryGroup.LMP.7	2014-05-06	2018-05-07
IllesBoglarka	member	parliamentaryGroup.Fidesz.9	2022-05-02	
JakabIstvan	member	parliamentaryGroup.Fidesz.7	2014-05-06	2018-05-07
JakabIstvan	deputyHead	parliamentaryGroup.Fidesz.7	2014-07-04	2015-11-01
JakabIstvan	member	parliamentaryGroup.Fidesz.8	2018-05-08	2022-05-01
JakabIstvan	member	parliamentaryGroup.Fidesz.9	2022-05-02	
JakabPeter	member	parliamentaryGroup.JOBBIK.8	2018-05-08	2022-05-01
JakabPeter	member	parliamentaryGroup.JOBBIK.9	2022-05-02	
JamborAndrasImre	member	parliamentaryGroup.Parbeszed.9	2022-05-02	
JozsaIstvan	member	parliamentaryGroup.MSZP.7	2014-05-06	2018-05-07
JuhaszHajnalka	member	parliamentaryGroup.KDNP.8	2018-05-08	2022-05-01
JuhaszHajnalka	member	parliamentaryGroup.KDNP.9	2022-05-02	
KallaiMaria	member	parliamentaryGroup.Fidesz.8	2018-05-08	2022-05-01
KallaiMaria	member	parliamentaryGroup.Fidesz.9	2022-05-02	
KalloGergely	member	parliamentaryGroup.JOBBIK.8	2020-03-09	2022-05-01
KalmanOlga	member	parliamentaryGroup.DK.9	2022-05-02	
KanaszNagyMate	member	parliamentaryGroup.LMP.9	2022-05-02	
KanaszNagyMate	deputyHead	parliamentaryGroup.LMP.9	2022-05-02	
KaraAkos	member	parliamentaryGroup.Fidesz.7	2014-05-06	2018-05-07
KaraAkos	deputyHead	parliamentaryGroup.Fidesz.7	2014-07-04	2015-11-01
KaraAkos	member	parliamentaryGroup.Fidesz.8	2018-05-08	2022-05-01
KaraAkos	member	parliamentaryGroup.Fidesz.9	2022-05-02	
KepliLajos	member	parliamentaryGroup.JOBBIK.7	2014-05-06	2018-05-07
KepliLajos	member	parliamentaryGroup.JOBBIK.8	2018-05-08	2019-06-25
KerenyiJanos	member	parliamentaryGroup.Fidesz.7	2014-05-06	2018-05-07
KerenyiJanos	member	parliamentaryGroup.Fidesz.8	2018-05-08	2022-05-01
KeresztesLaszloLorant	member	parliamentaryGroup.LMP.8	2018-05-08	2022-05-01
KeresztesLaszloLorant	member	parliamentaryGroup.LMP.9	2022-05-02	
KissLaszlo	member	parliamentaryGroup.MSZP.7	2014-05-06	2018-05-07
KocsisCakeOlivio	member	parliamentaryGroup.Parbeszed.8	2018-06-11	2022-05-01
KocsisCakeOlivio	deputyHead	parliamentaryGroup.Parbeszed.8	2020-03-19	2022-05-01
KocsisMate	member	parliamentaryGroup.Fidesz.8	2018-05-08	2022-05-01
KocsisMate	member	parliamentaryGroup.Fidesz.9	2022-05-02	
KocsisMate	head	parliamentaryGroup.Fidesz.9	2022-05-02	
KomaromiZoltan	member	parliamentaryGroup.DK.9	2022-05-02	
KomjathiImre	member	parliamentaryGroup.MSZP.9	2022-05-02	
KonczFerenc	member	parliamentaryGroup.Fidesz.8	2018-05-08	2020-07-10
KonczZsofia	member	parliamentaryGroup.Fidesz.8	2020-11-02	2022-05-01
KonczZsofia	member	parliamentaryGroup.Fidesz.9	2022-05-02	
KontratKaroly	member	parliamentaryGroup.Fidesz.7	2014-05-06	2018-05-07
KontratKaroly	member	parliamentaryGroup.Fidesz.8	2018-05-08	2022-05-01
KontratKaroly	member	parliamentaryGroup.Fidesz.9	2022-05-02	
KordasLaszlo	member	parliamentaryGroup.DK.9	2022-05-02	
KorozsLajos	member	parliamentaryGroup.MSZP.7	2014-05-06	2018-05-07
KorozsLajos	member	parliamentaryGroup.MSZP.8	2018-05-08	2019-06-25
KosaLajos	member	parliamentaryGroup.Fidesz.7	2014-05-06	2018-05-07
KosaLajos	deputyHead	parliamentaryGroup.Fidesz.7	2014-05-06	2015-09-30
KosaLajos	head	parliamentaryGroup.Fidesz.7	2015-10-01	2017-10-01
KosaLajos	member	parliamentaryGroup.Fidesz.8	2018-05-08	2022-05-01
KosaLajos	member	parliamentaryGroup.Fidesz.9	2022-05-02	
KosaLajos	deputyHead	parliamentaryGroup.Fidesz.9	2022-05-02	
