NAME	ROLE	HU	EN	ORG	DATE	DATE
CzunyineDrBertalanJudit	member	Igazságügyi bizottság tagja	member of the Committee on Justice	org.IB	2022-05-02	
CzunyineDrBertalanJudit	member	Törvényalkotási bizottság tagja	member of the Committee on Legislation	org.TB	2014-06-06	2014-06-18
CzunyineDrBertalanJudit	secretaryOfState	Emberi Erőforrások Minisztériumának államtitkára		ministry.Emmi	2014-06-15	2016-02-14
DankoBela	deputyHead	Igazságügyi bizottság alelnöke	deputy head of the Committee on Justice	org.IB	2014-06-06	2014-06-02
DankoBela	member			org.IB	2014-06-06	2014-06-02
DankoBela	member	Fenntartható fejlődés bizottságának tagja	member of the Committee on Sustainable Development	org.FFB	2014-06-02	2018-05-07
DankoBela	member	Mentelmi bizottság tagja	member of the Committee on Immunity	org.MB	2018-10-15	2022-05-01
DankoBela	member	Mentelmi bizottság tagja	member of the Committee on Immunity	org.MB	2022-05-02	
DankoBela	member	Mezőgazdasági bizottság tagja	member of the Committee on Agriculture	org.MezoB	2014-09-15	2018-05-07
DankoBela	member	Mezőgazdasági bizottság tagja	member of the Committee on Agriculture	org.MezoB	2018-05-18	2022-05-01
DankoBela	member	Mezőgazdasági bizottság tagja	member of the Committee on Agriculture	org.MezoB	2022-05-02	
DarakPeter	head	Kúria elnöke	head of the Curia of Hungary	org.K	2012-01-01	2021-01-01
DarakPeter	member			org.K	2012-01-01	2021-01-01
DavidFerenc	deputyHead	Gazdasági bizottság alelnöke	deputy head of the Committee on Economics	org.GB	2022-05-02	
DavidFerenc	member			org.GB	2022-05-02	
DemeterMarta	deputyHead	Honvédelmi és rendészeti bizottság alelnöke	deputy head of the Committee on Defence and Law Enforcement	org.HRB	2018-05-18	2019-02-18
DemeterMarta	member			org.HRB	2018-05-18	2019-02-18
DemeterMarta	deputyHead	Költségvetési bizottság alelnöke	deputy head of the Committee on Budget	org.KB	2017-10-02	2018-05-07
DemeterMarta	member			org.KB	2017-10-02	2018-05-07
DemeterMarta	deputyHead	Törvényalkotási bizottság alelnöke	deputy head of the Committee on Legislation	org.TB	2019-03-04	2022-05-01
DemeterMarta	member			org.TB	2019-03-04	2022-05-01
DemeterMarta	secretary	korjegyző	juniorNotary	OGY.7	2014-06-06	2014-06-06
DemeterMarta	member	Költségvetési bizottság tagja	member of the Committee on Budget	org.KB	2017-03-06	2017-08-31
DemeterMarta	member	Külügyi bizottság tagja	member of the Committee on Foreign Affairs	org.KulB	2014-06-06	2017-01-31
DemeterZoltan	deputyHead	Igazságügyi bizottság alelnöke	deputy head of the Committee on Justice	org.IB	2014-06-06	2014-06-02
DemeterZoltan	deputyHead	Kulturális bizottság alelnöke	deputy head of the Committee on Culture	org.KultB	2022-05-02	
DemeterZoltan	member			org.KultB	2022-05-02	
DemeterZoltan	member	Kulturális bizottság tagja	member of the Committee on Culture	org.KultB	2014-06-06	2018-05-07
DemeterZoltan	member	Igazságügyi bizottság tagja	member of the Committee on Justice	org.IB	2014-06-06	2018-05-07
DemeterZoltan	member	Igazságügyi bizottság tagja	member of the Committee on Justice	org.IB	2018-05-18	2022-05-01
DemeterZoltan	member	Kulturális bizottság tagja	member of the Committee on Culture	org.KultB	2018-10-15	2022-05-01
DemeterZoltan	member	Igazságügyi bizottság tagja	member of the Committee on Justice	org.IB	2022-05-02	
DeutschTamas	member	Európai Parlament	European Parliament	EP	2009	
DobrevKlara	deputyHead	az Európai Parlament alelnöke	Vice-President of the European Parliament	EP	2019-07-02	2022-01-18
DobrevKlara	member	Európai Parlament	European Parliament	EP	2019-07-02	
DocsDavid	member	Mezőgazdasági bizottság tag	member of the Committee on Agriculture	org.MezoB  	2022-05-02	
DocsDavid	member	Nemzeti Összetartozás Bizottsága tag	member of the Committee on Cohesion	org.NOB 	2022-06-08	
DocsDavid	secretary	jegyző	notary	OGY.9	2022-05-02	
DomokosLaszlo	head			org.ASZ	2010-07-05	2022-07-05
DomokosLaszlo	member			org.ASZ	2010-07-05	2022-07-05
DomokosLaszlo	member	Költségvetési Tanács tagja	member of the Budget Committee	org.KT	2010-12-19	2022-07-05
DomotorCsaba	secretaryOfState			ministry.Kabi	2015-10-21	2018-05-17
DomotorCsaba	secretaryOfState			ministry.Kabi	2018-05-22	2022-05-23
DomotorCsaba	secretaryOfState			ministry.Kabi	2022-05-24	
DonathAnnaJulia	member	európai parlamenti képviselő	member of the European Parliament	EP	2019-07-02	
DudasRobert	member	Külügyi bizottság tagja	member of the Committee on Foreign Affairs	org.KulB  	2020-09-21	2022-05-01
DudasRobert	member	Törvényalkotási bizottság tagja	member of the Committee on Legislation	org.TB	2019-11-18	2022-05-01
DunaiMonika	deputyHead	Kulturális bizottság alelnöke	deputy head of the Committee on Culture	org.KultB	2021-09-20	2022-05-01
DunaiMonika	deputyHead	Kulturális bizottság alelnöke	deputy head of the Committee on Culture	org.KultB	2022-05-02	
DunaiMonika	member			org.KultB	2022-05-02	
DunaiMonika	member	Európai ügyek bizottságának tagja	member of the Committee on European Affairs	org.EUB 	2017-10-30	2018-10-15
DunaiMonika	member	Európai ügyek bizottságának tagja	member of the Committee on European Affairs	org.EUB 	2020-03-23	2020-07-03
DunaiMonika	member	Kulturális bizottság tagja	member of the Committee on Culture	org.KultB	2014-06-06	2018-05-07
DunaiMonika	member	Kulturális bizottság tagja	member of the Committee on Culture	org.KultB	2018-05-18	2022-05-01
DunaiMonika	member	Törvényalkotási bizottság tagja	member of the Committee on Legislation	org.TB	2014-07-04	2018-05-07
DunaiMonika	member	Törvényalkotási bizottság tagja	member of the Committee on Legislation	org.TB	2018-05-18	2022-05-01
DunaiMonika	member	Törvényalkotási bizottság tagja	member of the Committee on Legislation	org.TB	2022-05-02	
DuroDora	deputyHead	Kulturális bizottság alelnöke	deputy head of the Committee on Culture	org.KultB	2018-05-18	2018-05-29
DuroDora	member			org.KultB	2018-05-18	2018-05-29
DuroDora	head	Kulturális bizottság elnöke	head of the Committee on Culture	org.KultB	2014-06-06	2018-05-07
DuroDora	member			org.KultB	2014-06-06	2018-05-07
DuroDora	secretary	korjegyző	junior notary	OGY.7	2014-06-06	2014-06-06
DuroDora	secretary	korjegyző	junior notary	OGY.8	2018-05-18	2018-05-18
DuroDora	secretary	korjegyző	junior notary	OGY.9	2022-05-02	2022-05-02
DuroDora	member	Mentelmi bizottság tagja	member of the Committee on Immunity	org.MB 	2018-06-11	2022-05-01
EgyedZsolt	member	Mentelmi bizottság tagja	member of the Committee on Immunity	org.MB 	2014-06-06	2018-05-27
FarkasFelix	member	roma nemzetiségi szószóló	advocate for the Roma minority	org.MNemzB 	2014-06-06	2018-05-07
FarkasFelix	member	roma nemzetiségi szószóló	advocate for the Roma minority	org.MNemzB 	2018-05-18	2022-05-01
FarkasFelix	member	roma nemzetiségi szószóló	advocate for the Roma minority	org.MNemzB 	2022-05-02	
FarkasGergely	secretary	korjegyző	junior notary	OGY.7	2014-06-06	2018-05-07
FarkasGergely	member	Kulturális bizottság tagja	member of the Committee on Culture	org.KultB	2014-06-06	2020-05-27
FarkasGergely	member	Törvényalkotási bizottság tagja	member of the Committee on Legislation	org.TB	2020-06-08	2022-05-01
FarkasSandor	deputyHead	Mezőgazdasági bizottság alelnöke	deputy head of the Committee on Agriculture	org.MezoB 	2014-06-23	2018-05-07
FarkasSandor	member	Mezőgazdasági bizottság tagja	member of the Committee on Agriculture	org.MezoB 	2014-06-06	2018-05-07
FarkasSandor	secretaryOfState	agrárminisztériumi parlamenti államtitkár	parliamentary secretary of state for the Ministry of Agriculture	ministry.Agrar	2018-05-18	2022-05-23
FazekasSandor	member	Honvédelmi és rendészeti bizottság tagja	member of the Committee on Defence and Law Enforcement	org.HRB	2022-05-02	
FazekasSandor	member	Mezőgazdasági bizottság tagja	member of the Committee on Agriculture	org.MezoB	2018-06-04	2022-05-01
FazekasSandor	member	Törvényalkotási bizottság tagja	member of the Committee on Legislation	org.TB	2018-06-04	2022-05-01
FazekasSandor	member	Törvényalkotási bizottság tagja	member of the Committee on Legislation	org.TB	2022-05-02	
FazekasSandor	minister	földművelésügyi miniszter       	minister of agriculture	GOV.10	2014-06-06	2018-05-17
FazekasSandor	member			GOV.10	2014-06-06	2018-05-17
FazekasSandor	head	földművelésügyi miniszter       	minister of agriculture	ministry.Fold	2014-06-06	2018-05-17
FazekasSandor	member			ministry.Fold	2014-06-06	2018-05-17
FeketePeter	secretaryOfState	kultúráért felelős államtitkár	secretary of state for culture	ministry.Emmi	2018-05-18	2022-05-23
FenyvesiZoltan	deputyHead	Nemzeti összetartozás bizottságának alelnöke	deputy head of the Committee on Cohesion	org.NOB 	2018-10-15	2022-05-01
FenyvesiZoltan	member	Európai ügyek bizottságának tagja	member of the Committee on European Affairs	org.EUB 	2018-05-18	2018-10-15
FenyvesiZoltan	member	Nemzeti összetartozás bizottságának tagja	member of the Committee on Cohesion	org.NOB 	2018-05-08	2022-05-01
FirtlMatyas	deputyHead	Honvédelmi és rendészeti bizottság alelnöke	deputy head of the Committee on Defence and Law Enforcement	org.HRB 	2014-06-02	2018-05-07
FirtlMatyas	member			org.HRB 	2014-06-02	2018-05-07
FirtlMatyas	member	Európai ügyek bizottságának tagja	member of the Committee on European Affairs	org.EUB 	2014-06-06	2018-05-07
FirtlMatyas	member	Külügyi bizottság tagja	member of the Committee on Foreign Affairs	org.KulB  	2014-06-06	2014-06-10
FKovacsSandor	deputyHead	Gazdasági bizottság alelnöke	deputy head of the Committee on Economics	org.GB 	2022-05-02	2022-06-08
FKovacsSandor	deputyHead	Költségvetési bizottság alelnöke	deputy head of the Committee on Budget	org.KB	2022-06-08	
FKovacsSandor	member	Gazdasági bizottság tagja	member of the Committee on Economics	org.GB 	2018-05-08	2022-05-01
FKovacsSandor	member	Gazdasági bizottság tagja	member of the Committee on Economics	org.GB 	2022-05-02	
FKovacsSandor	member	Költségvetési bizottság tagja	member of the Committee on Budget	org.KB	2020-06-29	2022-05-01
FKovacsSandor	member	Költségvetési bizottság tagja	member of the Committee on Budget	org.KB	2022-05-02	
FodorGabor	member	Törvényalkotási bizottság	member of the Committee on Legislation	org.TB 	2014-06-06	2018-05-07
FoldiLaszlo	member	Kulturális bizottság tagja	member of the Committee on Culture	org.KultB	2018-05-08	2022-05-01
FoldiLaszlo	member	Kulturális bizottság tagja	member of the Committee on Culture	org.KultB	2022-05-02	
FoldiLaszlo	member	Mezőgazdasági bizottság tagja	member of the Committee on Agriculture	org.MezoB 	2014-06-06	2018-05-07
FoldiLaszlo	secretary	jegyző	notary	OGY.7	2014-06-06	2018-05-07
FoldiLaszlo	secretary	jegyző	notary	OGY.8	2018-05-08	2022-05-01
FoldiLaszlo	secretary	jegyző	notary	OGY.9	2022-05-02	
FonagyJanos	secretaryOfState	gazdaságfejlesztéssel kapcsolatos parlamenti ügyekért felelős államtitkár	secretary of state for parliamentary affairs related to economic development	ministry.Kabi	2022-05-24	
FonagyJanos	secretaryOfState	nemzeti vagyonnal kapcsolatos parlamenti ügyekért felelős államtitkár	secretary of state for Parliamentary Affairs regarding National Property	ministry.MinK	2018-05-22	2022-05-23
FonagyJanos	secretaryOfState	nemzeti fejlesztési minisztériumi parlamenti államtitkára	parliamentary secretary of state for the Ministry of National Development	ministry.NFM	2014-06-15	2018-05-17
FontSandor	head	Mezőgazdasági bizottság elnöke	head of the Committee on Agriculture	org.MezoB 	2014-06-02	2018-05-07
FontSandor	member			org.MezoB 	2014-06-02	2018-05-07
FontSandor	head	Mezőgazdasági bizottság elnöke	head of the Committee on Agriculture	org.MezoB 	2018-05-08	2022-05-01
FontSandor	member			org.MezoB 	2018-05-08	2022-05-01
FontSandor	head	Mezőgazdasági bizottság elnöke	head of the Committee on Agriculture	org.MezoB 	2022-05-02	
FontSandor	member			org.MezoB 	2022-05-02	
FulopAttila	secretaryOfState	gondoskodáspolitikáért felelős államtitkár	secretary of state for care policy	ministry.Bel	2022-05-24	
FulopAttila	secretaryOfState	szociális ügyekért és társadalmi felzárkózásért felelős államtitkár	secretary of state for social issues and social inclusion	ministry.Emmi	2018-05-01	2019-05-01
FulopAttila	secretaryOfState	szociális ügyekért felelős államtitkár	secretary of state for social issues	ministry.Emmi	2019-05-01	2022-05-23
FulopAttila	secretaryOfState	nemzetiségi és civil társadalmi kapcsolatokért felelős helyettes államtitkár	deputy secretary of state for nationality and civil society relations	ministry.Min	2015-05-01	2018-05-01
FulopErik	member	Igazságügyi bizottság tagja	member of the Committee on Justice	org.IB	2018-10-15	2022-05-01
FulopErik	member	Törvényalkotási bizottság tagja	member of the Committee on Legislation	org.TB	2018-05-08	2018-10-08
FurjesBalazs	secretaryOfState	Budapest és a fővárosi agglomeráció fejlesztéséért felelős államtitkár	secretary of state for the development of public transport in Budapest and its metropolitan areas	ministry.Min	2018-05-18	2022-05-23
FurjesBalazs	secretaryOfState	Miniszterelnökség parlamenti államtitkára	parliamentary secretary of state for the Prime Ministry	ministry.Min	2022-05-24	
FuzikJanos	member	szlovák nemzetiségi szószóló	advocate for the Slovakian minority	org.MNemzB 	2014-06-06	2018-05-07
FuzikJanos	head	Magyarországi nemzetiségek bizottságának elnöke	head of the Committee on Nationalities in Hungary	org.MNemzB 	2014-06-06	2018-05-07
GaalGergely	member	Kulturális Bizottság tagja	member of the Committee on Culture	org.KultB	2017-10-16	2022-05-01
GaalGergely	member	Nemzeti összetartozás bizottságának tagja	member of the Committee on Cohesion	org.NOB 	2017-10-16	2022-05-01
GalambosDenes	member	Gazdasági bizottság tagja	member of the Committee on Economics	org.GB	2014-06-23	2018-05-07
GalambosDenes	member	Nemzetbiztonsági bizottság tagja	member of the Committee on National Security	org.NVedB	2014-06-06	2015-02-16
GalambosDenes	member	Törvényalkotási bizottság tagja	member of the Committee on Legislation	org.TB	2015-02-16	2018-05-07
GalKinga	member	európai parlamenti képviselő	MEP	EP	2004	
GelencserAttila	deputyHead	Vállalkozásfejlesztési bizottság alelnöke	deputy head of the Committee on Business Development	org.VB 	2014-06-06	2014-06-02
GelencserAttila	member	Vállalkozásfejlesztési bizottság tagja	member of the Committee on Business Development	org.VB 	2014-06-06	2018-05-07
GelencserAttila	member	Vállalkozásfejlesztési bizottság tagja	member of the Committee on Business Development	org.VB 	2018-05-18	2022-05-01
GelencserAttila	member	Vállalkozásfejlesztési bizottság tagja	member of the Committee on Business Development	org.VB 	2022-05-02	
GelencserAttila	secretary	jegyző	notary	OGY.7	2014-05-23	2018-05-07
GelencserAttila	secretary	jegyző	notary	OGY.8	2018-05-08	2022-05-01
GelencserAttila	secretary	jegyző	notary	OGY.9	2022-05-02	
GionGabor	secretaryOfState	stratégiai tervezésért és humánpolitikáért felelős államtitkár	secretary of state for strategic planning and human resources policies	ministry.Hon	2022-05-24	
GionGabor	secretaryOfState	pénzügyekért felelős államtitkár (PM)	secretary of state for finances	ministry.Penz	2018-11-13	2022-05-23
GiriczVera	member	ruszin nemzetiségi szószóló	advocate for the Rusyn minority	org.MNemzB 	2014-06-06	2018-05-07
GiriczVera	member	ruszin nemzetiségi szószóló	advocate for the Rusyn minority	org.MNemzB 	2018-05-08	2022-05-01
GiriczVera	member	ruszin nemzetiségi szószóló	advocate for the Rusyn minority	org.MNemzB 	2022-05-02	
GlattfelderBela	secretaryOfState	gazdaságszabályozásért felelős államtitkár	secretary of state for economic regulation	ministry.NGM	2014-06-06	2015-10-31
GogosZoltan	member	Törvényalkotási bizottság tagja	member of the Committee on Legislation	org.TB	2014-06-06	2018-05-07
GottfriedPeter	member	a Magyar Nemzeti Bank Monetáris Tanácsának tagja	member of the Monetary Council of the Hungarian National Bank	org.MNB-MT	2020-11-30	
GreczyZsolt	member	Kulturális Bizottság tagja	member of the Committee on Culture	org.KultB	2018-05-08	2019-12-31
GreczyZsolt	member	Kulturális Bizottság tagja	member of the Committee on Culture	org.KultB	2022-05-02	
GreczyZsolt	member	Törvényalkotási bizottság tagja	member of the Committee on Legislation	org.TB	2022-07-04	
GrexaLiliana	member	ukrán nemzetiségi szószóló	advocate for the Ukranian minority	org.MNemzB 	2022-05-02	
GulyasGergely	deputyHead	az Országgyűlés törvényalkotásért felelős alelnöke	Vice-President of the National Assembly responsible for legislation	OGY.7	2014-06-06	2017-10-01
GulyasGergely	head	Törvényalkotási bizottság elnöke	head of the Committee on Legislation	org.TB	2014-06-06	2017-10-02
GulyasGergely	member			org.TB	2014-06-06	2017-10-02
GulyasGergely	minister	Miniszterelnökséget vezető miniszter	minister in charge of the prime minister's office	GOV.11	2018-05-18	2022-05-23
GulyasGergely	member			GOV.11	2018-05-18	2022-05-23
GulyasGergely	head	Miniszterelnökséget vezető miniszter	minister in charge of the prime minister's office	ministry.Min	2018-05-18	2022-05-23
GulyasGergely	member			ministry.Min	2018-05-18	2022-05-23
GulyasGergely	minister	Miniszterelnökséget vezető miniszter	minister in charge of the prime minister's office	GOV.12	2022-05-24	
GulyasGergely	member			GOV.12	2022-05-24	
GulyasGergely	head	Miniszterelnökséget vezető miniszter	minister in charge of the prime minister's office	ministry.Min	2022-05-24	
GulyasGergely	member			ministry.Min	2022-05-24	
GurmaiZita	deputyHead	Törvényalkotási bizottság alelnöke	deputy head of the Committee on Legislation	org.TB	2022-02-21	2022-05-01
GurmaiZita	member			org.TB	2022-02-21	2022-05-01
GurmaiZita	member	Külügyi bizottság tagja	member of the Committee on Foreign Affairs	org.KulB	2018-06-04	2022-05-01
GurmaiZita	member	Külügyi bizottság tagja	member of the Committee on Foreign Affairs	org.KulB	2022-05-02	
GurmaiZita	member	Törvényalkotási bizottság tagja	member of the Committee on Legislation	org.TB	2022-05-02	
GurNandor	member	Vállalkozásfejlesztési bizottság tagja	member of the Committee on Business Development	org.VB 	2014-06-06	2018-05-07
GurNandor	secretary	jegyző	notary	OGY.7	2014-06-06	2018-05-07
GyNemethErzsebet	member	Európai ügyek bizottsága tag	member of the Committee on European Affairs	org.EUB  	2022-05-02	
GyNemethErzsebet	member	Törvényalkotási bizottság tag	member of the Committee on Legislation	org.TB   	2022-07-04	
GyongyosiMarton	deputyHead	Külügyi bizottság alelnöke	deputy head of the Committee on Foreign Affairs	org.KulB  	2014-06-06	2018-05-07
GyongyosiMarton	member			org.KulB  	2014-06-06	2018-05-07
GyongyosiMarton	member	Külügyi bizottság tagja	member of the Committee on Foreign Affairs	org.KulB  	2018-05-08	2019-06-25
GyoparosAlpar	member	Európai ügyek bizottsága	member of the Committee on European Affairs	org.EUB	2014-06-06	2018-05-07
GyorffyBalazs	deputyHead	Mezőgazdasági bizottság alelnöke	deputy head of the Committee on Agriculture	org.MezoB 	2018-05-08	2022-05-01
GyorffyBalazs	member	Mezőgazdasági bizottság tagja	member of the Committee on Agriculture	org.MezoB 	2018-05-08	2022-05-01
GyorffyBalazs	deputyHead	Mezőgazdasági bizottság alelnöke	deputy head of the Committee on Agriculture	org.MezoB 	2022-05-02	
GyorffyBalazs	member	Mezőgazdasági bizottság tagja	member of the Committee on Agriculture	org.MezoB 	2022-05-02	
GyorffyBalazs	head	Mezőgazdasági bizottság elnöke	head of the Committee on Agriculture	org.MezoB 	2014-06-06	2014-06-02
GyorffyBalazs	member	Mezőgazdasági bizottság tagja	member of the Committee on Agriculture	org.MezoB 	2014-06-06	2018-05-07
GyorgyIstvan	secretaryOfState	területi közigazgatásért felelős államtitkár	secretary of state for territorial government administration	ministry.Min	2020-01-03	2022-05-23
GyorgyIstvan	secretaryOfState			ministry.Min	2022-05-24	
GyorgyLaszlo	secretaryOfState	gazdaságstratégiáért és szabályozásért felelős államtitkár	secretary of state for economic strategy and regulation	ministry.ITM	2018-05-18	2022-05-23
GyorgyLaszlo	secretaryOfState	innovációért és felsőoktatásért felelős államtitkár	secretary of state for innovation and higher education	ministry.KIM	2022-05-24	
GyoriEniko	member	európai parlamenti képviselő	MEP	EP	2019-07-02	
GyureCsaba	deputyHead	Igazságügyi bizottság alelnöke	deputy head of the Committee on Justice	org.IB	2019-07-08	2022-05-01
GyureCsaba	member			org.IB	2019-07-08	2022-05-01
GyureCsaba	deputyHead	Törvényalkotási bizottság alelnöke	deputy head of the Committee on Legislation	org.TB	2014-06-06	2018-05-07
GyureCsaba	member			org.TB	2014-06-06	2018-05-07
GyureCsaba	member	Törvényalkotási bizottság tagja	member of the Committee on Legislation	org.TB	2019-04-01	2019-07-08
GyureCsaba	secretary	jegyző	notary	OGY.8	2020-06-29	2022-05-01
HadhazyAkos	member	Törvényalkotási bizottság tagja	member of the Committee on Legislation	org.TB	2016-09-12	2018-05-07
HadhazySandor	deputyHead	Gazdasági bizottság alelnöke	deputy head of the Committee on Economics	org.GB 	2018-05-18	2022-05-01
HadhazySandor	member			org.GB 	2018-05-18	2022-05-01
HadhazySandor	member	Gazdasági bizottság tagja	member of the Committee on Economics	org.GB 	2015-11-02	2018-05-07
HadhazySandor	member	Törvényalkotási bizottság tagja	member of the Committee on Legislation	org.TB	2014-06-06	2018-10-15
HajasBarnabas	secretaryOfState	igazságügyi kapcsolatokért felelős államtitkár	secretary of state responsible for judicial relations	ministry.Igazsag	2020-05-01	2021-03-15
HajduLaszlo	member	Fenntartható Fejlődés Bizottsága	member of the Committee on Sustainable Development	org.FFB	2018-05-18	2022-05-01
HajduLaszlo	member	Törvényalkotási bizottság tagja	member of the Committee on Legislation	org.TB	2018-05-18	2022-05-01
HajnalMiklos	member	Törvényalkotási bizottság tag	member of the Committee on Legislation	org.TB   	2022-05-02	
HalaszJanos	deputyHead	Nemzetbiztonsági bizottság alelnöke	deputy head of the Committee on National Security	org.NVedB 	2018-07-02	2022-05-01
HalaszJanos	member			org.NVedB 	2018-05-11	2022-05-01
HalaszJanos	deputyHead	Nemzetbiztonsági bizottság alelnöke	deputy head of the Committee on National Security	org.NVedB 	2022-05-02	
HalaszJanos	member			org.NVedB 	2022-05-02	
HalaszJanos	member	Kulturális bizottság tagja	member of the Committee on Culture	org.KultB	2014-06-23	2016-05-07
HandoTunde	head	Országos Bírósági Hivatal elnöke	president of the National Judicial Office	org.OBH	2011-12-13	2019-11-30
HandoTunde	member			org.OBH	2011-12-13	
HandoTunde	member	alkotmánybíró	constitutional judge	org.AB	2020-01-01	
HarangozoGabor	deputyHead	Mezőgazdasági bizottság alelnöke	deputy head of the Committee on Agriculture	org.MezoB 	2014-06-06	2018-05-07
HarangozoGabor	member			org.MezoB 	2014-06-06	2018-05-07
HarangozoTamas	deputyHead	Honvédelmi és rendészeti bizottság alelnöke	deputy head of the Committee on Defence and Law Enforcement	org.HRB	2014-06-06	2018-05-07
HarangozoTamas	member			org.HRB	2014-06-06	2018-05-07
HarangozoTamas	deputyHead	Honvédelmi és rendészeti bizottság alelnöke	deputy head of the Committee on Defence and Law Enforcement	org.HRB	2022-05-02	
HarangozoTamas	member			org.HRB	2022-05-02	
HarangozoTamas	deputyHead	Törvényalkotási bizottság alelnöke	deputy head of the Committee on Legislation	org.TB	2018-05-18	2018-10-01
HarangozoTamas	member			org.TB	2018-05-18	2018-10-01
HarangozoTamas	member	Honvédelmi és rendészeti bizottság tagja	member of the Committee on Defence and Law Enforcement	org.HRB	2018-05-18	2022-05-01
HarangozoTamas	member	Törvényalkotási bizottság tagja	member of the Committee on Legislation	org.TB	2014-09-15	2016-09-12
HargitaiJanos	deputyHead	Költségvetési bizottság alelnöke	deputy head of the Committee on Budget	org.KB	2014-06-06	2018-05-07
HargitaiJanos	member			org.KB	2014-06-06	2018-05-07
HargitaiJanos	deputyHead	Költségvetési bizottság alelnöke	deputy head of the Committee on Budget	org.KB	2018-05-18	2022-05-01
HargitaiJanos	member			org.KB	2018-05-18	2022-05-01
HargitaiJanos	head	Mentelmi bizottság elnöke	head of the Committee on Immunity	org.MB	2014-06-06	2018-05-07
HargitaiJanos	head	Mentelmi bizottság elnöke	head of the Committee on Immunity	org.MB	2018-05-18	2022-05-01
HargitaiJanos	head	Mentelmi bizottság elnöke	head of the Committee on Immunity	org.MB	2022-05-02	
HargitaiJanos	member			org.MB	2014-06-06	2018-05-07
HargitaiJanos	member			org.MB	2018-05-18	2022-05-01
HargitaiJanos	member			org.MB	2022-05-02	
HargitaiJanos	member	Költségvetési bizottság tagja	member of the Committee on Budget	org.KB	2022-05-02	
HarrachPeter	member	Fenntartható Fejlődés Bizottsága	member of the Committee on Sustainable Development	org.FFB	2022-05-02	
HarrachPeter	member	Népjóléti Bizottság tagja	member of the Committee on Social Welfare	org.NB 	2014-06-06	2018-05-07
HartyanyiJaroszlava	member	ukrán nemzetiségi szószóló	advocate for the Ukrainian minority	org.MNemzB 	2014-06-06	2018-05-07
HegedusAndrea	deputyHead	Mentelmi Bizottság alelnök	deputy head of the Committee on Immunity	org.MB  	2022-07-04	
HegedusAndrea	member			org.MB  	2022-07-04	
HegedusAndrea	member	Törvényalkotási bizottság tag	member of the Committee on Legislation	org.TB   	2022-05-02	2022-07-04
HegedusLorantne	deputyHead	Törvényalkotási bizottság alelnöke	deputy head of the Committee on Legislation	org.TB	2018-05-18	2019-02-26
HegedusLorantne	member			org.TB	2018-05-18	2019-02-26
HegedusLorantne	member	Költségvetési bizottság tagja	member of the Committee on Budget	org.KB	2014-06-06	2018-05-07
HegedusLorantne	member	Törvényalkotási bizottság tagja	member of the Committee on Legislation	org.TB	2019-03-04	2019-03-21
HegedusLorantne	secretary	jegyző	notary	OGY.7	2014-06-06	2018-05-07
HegmanneNemesSara	secretaryOfState	vagyonpolitikáért felelős államtitkár	secretary of state for state property policy	ministry.NFM	2014-06-06	2015-01-22
HejjDavid	member	Törvényalkotási bizottság tagja	member of the Committee on Legislation	org.TB	2018-05-18	2022-05-01
HejjDavid	member	Törvényalkotási bizottság tagja	member of the Committee on Legislation	org.TB	2022-05-02	
HendeCsaba	deputyHead	az Országgyűlés törvényalkotásért felelős alelnöke	Vice-President of the National Assembly responsible for legislation	OGY.7	2017-10-02	2018-05-07
HendeCsaba	deputyHead	az Országgyűlés törvényalkotásért felelős alelnöke	Vice-President of the National Assembly responsible for legislation	OGY.8	2018-05-18	2022-05-01
HendeCsaba	deputyHead	az Országgyűlés törvényalkotásért felelős alelnöke	Vice-President of the National Assembly responsible for legislation	OGY.9	2022-05-02	
HendeCsaba	deputyHead	Törvényalkotási bizottság alelnöke	deputy head of the Committee on Legislation	org.TB	2015-09-22	2017-10-02
HendeCsaba	head	Törvényalkotási bizottság elnöke	head of the Committee on Legislation	org.TB	2017-10-02	2018-05-07
HendeCsaba	head	Törvényalkotási bizottság elnöke	head of the Committee on Legislation	org.TB	2018-05-18	2022-05-01
HendeCsaba	head	Törvényalkotási bizottság elnöke	head of the Committee on Legislation	org.TB	2022-05-02	
HendeCsaba	member			org.TB	2015-09-22	2018-05-07
HendeCsaba	member			org.TB	2018-05-18	2022-05-01
HendeCsaba	member			org.TB	2022-05-02	
HendeCsaba	minister	honvédelmi miniszter	minister of defence 	GOV.10	2014-06-06	2015-09-09
HendeCsaba	member			GOV.10	2014-06-06	2015-09-09
HendeCsaba	head	honvédelmi miniszter	minister of defence 	ministry.Hon	2014-06-06	2015-09-09
HendeCsaba	member			ministry.Hon	2014-06-06	2015-09-09
HeppMihaly	member	horvát nemzetiségi szószóló	advocate for the Croatian minority	org.MNemzB 	2014-06-06	2018-05-07
HerczegTamas	deputyHead	Nemzeti Összetartozás Bizottságának alelnöke	deputy head of the Committee on Cohesion	org.NOB 	2022-06-14	
HerczegTamas	member			org.NOB 	2022-06-14	
HerczegTamas	deputyHead	Törvényalkotási bizottság alelnöke	deputy head of the Committee on Legislation	org.TB	2020-03-23	2022-06-08
HerczegTamas	member			org.TB	2020-03-23	2022-06-08
HerczegTamas	member	Törvényalkotási bizottság tagja	member of the Committee on Legislation	org.TB	2018-05-18	2020-03-23
HerczegTamas	member	Törvényalkotási bizottság tagja	member of the Committee on Legislation	org.TB	2022-06-08	
