NAME	ROLE	HU	EN	ORG	DATE	DATE
BakosBernadett	member	Költségvetési bizottság tagja	member of the Committee on Budget	org.KB	2022-05-02	
BakosBernadett	secretary	jegyző	notary	OGY.9	2022-05-02	
BalassaPeter	deputyHead	Európai ügyek bizottsága alelnök	deputy head of the Committee on European Affairs	org.EUB  	2022-05-02	
BalassaPeter	member	Európai ügyek bizottsága tag	member of the Committee on European Affairs	org.EUB  	2022-05-02	
BalczoZoltan	deputyHead	Európai ügyek bizottsága alelnök	deputy head of the Committee on European Affairs	org.EUB	2020-03-09	2022-05-01
BalczoZoltan	member	Európai ügyek bizottsága tag	member of the Committee on European Affairs	org.EUB	2020-03-09	2022-05-01
BalczoZoltan	deputyHead	Nemzeti összetartozás bizottságának alelnöke	deputy head of the Committee on Cohesion	org.NOB	2020-03-30	2022-05-01
BalczoZoltan	member	Nemzeti összetartozás bizottságának tagja	member of the Committee on Cohesion	org.NOB	2020-03-30	2022-05-01
BalczoZoltan	member	Törvényalkotási bizottság tagja	member of the Committee on Legislation	org.TB	2014-06-06	2020-03-09
BalczoZoltan	member	Európai Parlament tagja	European Parliament	EP	2014-07-01	2019-07-01
BallaGyorgy	deputyHead	Törvényalkotási bizottság alelnöke	deputy head of the Committee on Legislation	org.TB	2014-06-02	2018-05-07
BallaGyorgy	deputyHead	Törvényalkotási bizottság alelnöke	deputy head of the Committee on Legislation	org.TB	2018-05-18	2018-10-15
BallaGyorgy	member	Törvényalkotási bizottság tagja	member of the Committee on Legislation	org.TB	2014-06-02	2018-05-07
BallaGyorgy	member	Törvényalkotási bizottság tagja	member of the Committee on Legislation	org.TB	2018-05-18	2022-05-01
BallaMihaly	deputyHead	Külügyi bizottság alelnöke	deputy head of the Committee on Foreign Affairs	org.KulB	2014-06-07	2018-05-07
BallaMihaly	member	Külügyi bizottság tagja	member of the Committee on Foreign Affairs	org.KulB	2014-06-06	2018-05-07
BallaMihaly	deputyHead	Külügyi bizottság alelnöke	deputy head of the Committee on Foreign Affairs	org.KulB	2018-05-18	2022-05-01
BallaMihaly	member	Külügyi bizottság tagja	member of the Committee on Foreign Affairs	org.KulB	2018-05-18	2022-05-01
BallaMihaly	head	Külügyi bizottság elnöke	head of the Committee on Foreign Affairs	org.KulB	2014-06-06	2014-06-07
BallaMihaly	member	Külügyi bizottság tagja	member of the Committee on Foreign Affairs	org.KulB	2022-05-02	
BallaMihaly	head	Külügyi bizottság elnöke	head of the Committee on Foreign Affairs	org.KulB	2022-05-02	
BalogAdam	deputyHead	Magyar Nemzeti Bank alelnöke	deputy head of the Hungarian National Bank	org.MNB	2013-03-06	2015-07-22
BalogAdam	member	Magyar Nemzeti Bank tagja	member of the Hungarian National Bank	org.MNB	2013-03-06	2015-07-22
BalogAdam	member	Magyar Nemzeti Bank monetáris tanácsának tagja	member of the Monetary Council of the Hungarian National Bank	org.MNB-MT	2013-03-06	2015-07-22
BalogZoltan	minister	emberi erőforrások minisztere	minister of human resources	GOV.10	2014-06-06	2018-05-17
BalogZoltan	member			GOV.10	2014-06-06	2018-05-17
BalogZoltan	head	emberi erőforrások minisztere	minister of human resources	ministry.Emmi	2014-06-06	2018-05-17
BalogZoltan	member			ministry.Emmi	2014-06-06	2018-05-17
BanaiPeterBeno	secretaryOfState			ministry.NGM	2014-06-15	2018-05-17
BanaiPeterBeno	secretaryOfState			ministry.Penz	2018-05-22	2022-05-23
BanaiPeterBeno	secretaryOfState			ministry.Penz	2022-05-24	
BanaTibor	deputyHead			org.EUB	2014-06-06	2018-05-07
BanaTibor	member	Európai ügyek bizottsága tag	member of the Committee on European Affairs	org.EUB	2014-06-06	2018-05-07
BanaTibor	deputyHead			org.EUB	2018-05-18	2020-03-02
BanaTibor	member	Európai ügyek bizottsága tag	member of the Committee on European Affairs	org.EUB  	2018-05-18	2022-05-01
BandiGyula	ombudsman	alapvető jogok biztosának a jövő nemzedékek érdekeinek védelmét ellátó helyettese	deputy ombudsman for fundamental rights to protect the interests of future generations	OGY	2017-02-21	
BangoneBorbelyIldiko	deputyHead	Törvényalkotási bizottság alelnöke	deputy head of the Committee on Legislation	org.TB	2019-12-11	2022-02-21
BangoneBorbelyIldiko	member	Gazdasági bizottság tagja	member of the Committee on Economics	org.GB	2018-06-04	2019-12-02
BangoneBorbelyIldiko	member	Népjóléti bizottság tagja	member of the Committee on Social Welfare	org.NB	2014-06-06	2016-11-07
BangoneBorbelyIldiko	member	Törvényalkotási bizottság tagja	member of the Committee on Legislation	org.TB	2016-11-07	2018-05-07
BangoneBorbelyIldiko	member	Törvényalkotási bizottság tagja	member of the Committee on Legislation	org.TB	2018-05-18	2018-06-04
BangoneBorbelyIldiko	member	Törvényalkotási bizottság tagja	member of the Committee on Legislation	org.TB	2019-12-02	2022-02-21
BangoneBorbelyIldiko	member	Vállalkozásfejlesztési bizottság tagja	member of the Committee on Business Development	org.VB	2018-05-18	2022-05-01
BankiErik	deputyHead	Gazdasági bizottság alelnöke	deputy head of the Committee on Economics	org.GB	2014-06-06	2015-10-19
BankiErik	head	Gazdasági bizottság elnöke	head of the Committee on Economics	org.GB	2015-10-19	2018-05-07
BankiErik	head	Gazdasági bizottság elnöke	head of the Committee on Economics	org.GB	2018-05-18	2022-05-01
BankiErik	head	Gazdasági bizottság elnöke	head of the Committee on Economics	org.GB	2022-05-02	
BankiErik	member	Gazdasági bizottság tagja	member of the Committee on Economics	org.GB	2014-06-06	2018-05-07
BankiErik	member	Gazdasági bizottság tagja	member of the Committee on Economics	org.GB	2018-05-18	2022-05-01
BankiErik	member	Gazdasági bizottság tagja	member of the Committee on Economics	org.GB	2022-05-02	
BanyaiGabor	deputyHead	Vállalkozásfejlesztési bizottság alelnöke	deputy head of the Committee on Business Development	org.VB	2014-05-06	2014-06-02
BanyaiGabor	deputyHead	Vállalkozásfejlesztési bizottság alelnöke	deputy head of the Committee on Business Development	org.VB	2015-05-26	2018-05-07
BanyaiGabor	deputyHead	Vállalkozásfejlesztési bizottság alelnöke	deputy head of the Committee on Business Development	org.VB	2018-05-08	2022-05-01
BanyaiGabor	deputyHead	Vállalkozásfejlesztési bizottság alelnöke	deputy head of the Committee on Business Development	org.VB	2022-05-02	2022-06-08
BanyaiGabor	member	Vállalkozásfejlesztési bizottság tagja	member of the Committee on Business Development	org.VB	2014-05-06	2018-05-07
BanyaiGabor	member	Vállalkozásfejlesztési bizottság tagja	member of the Committee on Business Development	org.VB	2018-05-08	2022-05-01
BanyaiGabor	member	Vállalkozásfejlesztési bizottság tagja	member of the Committee on Business Development	org.VB	2022-05-02	
BarandyGergely	deputyHead	Törvényalkotási bizottság alelnöke	deputy head of the Committee on Legislation	org.TB	2014-06-06	2018-05-07
BarandyGergely	member	Törvényalkotási bizottság tagja		org.TB	2014-06-06	2018-05-07
BarandyGergely	member	Igazságügyi bizottság tagja	member of the Committee on Justice	org.IB	2014-09-15	2018-05-07
BarczaAttila	deputyHead	Gazdasági bizottság alelnöke	deputy head of the Committee on Economics	org.GB	2022-05-02	
BarczaAttila	member			org.GB	2022-05-02	
BarczaAttila	deputyHead	Kulturális bizottság alelnöke	deputy head of the Committee on Culture	org.KultB	2018-05-18	2018-06-04
BarczaAttila	member			org.KultB	2018-05-18	2018-06-04
BarczaAttila	secretary	korjegyző	juniorNotary	OGY.8	2018-05-18	2018-05-18
BarczaAttila	member	Gazdasági bizottság tagja	member of the Committee on Economics	org.GB	2018-07-02	2022-05-01
BarczaAttila	member	Költségvetési bizottság tagja	member of the Committee on Budget	org.KB	2018-05-18	2022-05-01
BarczaAttila	member	Költségvetési bizottság tagja	member of the Committee on Budget	org.KB	2022-05-02	
BarkocziBalazs	deputyHead	Európai ügyek bizottsága alelnök	deputy head of the Committee on European Affairs	org.EUB  	2022-07-19	
BarkocziBalazs	member			org.EUB  	2022-07-19	
BarkocziBalazs	deputyHead	Mezőgazdasági bizottság alelnök	deputy head of the Committee on Agriculture	org.MezoB  	2022-07-19	
BarkocziBalazs	member			org.MezoB  	2022-07-19	
BarkocziBalazs	member	Törvényalkotási bizottság tag	member of the Committee on Legislation	org.TB   	2022-05-02	
BartokiGonczyBalazs	member	Nemzeti Média- és Hírközlési Hatóság Médiatanácsának tagja	member of the Media Council of the National Media and Infocommunications Authority 	org.NMHH-MT	2021-12-14	
BartosMonika	deputyHead	Honvédelmi és rendészeti bizottság alelnöke	deputy head of the Committee on Defence and Law Enforcement	org.HRB	2022-05-02	2022-06-08
BartosMonika	deputyHead	Költségvetési bizottság alelnöke	deputy head of the Committee on Budget	org.KB	2018-05-18	2018-06-04
BartosMonika	member			org.KB	2018-05-18	2018-06-04
BartosMonika	member	Fenntartható fejlődés bizottságának tagja	member of the Committee on Sustainable Development	org.FFB	2014-06-06	2014-06-02
BartosMonika	member	Fenntartható fejlődés bizottságának tagja	member of the Committee on Sustainable Development	org.FFB	2014-06-23	2018-05-07
BartosMonika	member	Honvédelmi és rendészeti bizottság tagja	member of the Committee on Defence and Law Enforcement	org.HRB	2020-05-05	2022-06-08
BartosMonika	member	Külügyi bizottság tagja	member of the Committee on Foreign Affairs	org.KulB	2014-06-06	2018-05-07
